NrKR;ROURO;MURO;RAHF;NRMATKI;RMHF;NROJCA;ROHF;ROKWY;MIEWY;KGMLE;KGT£U;PRT£U;KGBIA£;PRBIA£
53305475;1997;5;0.87;37789092;0.81;2131546;0.94;1999;10;5177;229;4.42;174;3.36
53305487;1997;6;0.65;43373969;0.5;723002;0.81;1999;9;4064;172;4.24;135;3.31
53305438;1997;4;0.73;37759040;0.45;551948;1;1999;9;4513;197;4.37;140;3.11
53305428;1997;4;0.5;43352434;0;551948;1;1999;8;4048;174;4.31;134;3.31
43394380;1997;1;0.62;43373811;0.37;7060649;0.87;1999;8;4659;163;3.5;150;3.22
53305463;1997;5;0.62;43354000;0.25;551948;1;1999;9;5320;186;3.42;164;3.09
53305395;1997;3;0.62;43373889;0.25;7061348;1;1999;9;4323;174;4.02;147;3.39
43394384;1997;1;0.5;43390921;0;3786344;1;1999;9;5166;198;3.84;165;3.2
53305460;1997;5;0.53;43373985;0.25;723002;0.81;1999;9;5124;185;3.6;158;3.08
53305459;1997;5;0.5;43332604;0;551948;1;1999;9;3668;121;3.3;118;3.22
53305419;1997;4;0.73;43373981;0.5;7207843;0.96;1999;12;4569;188;4.1;151;3.31
53305289;1997;2;0.75;43391030;0.5;551948;1;1999;8;4249;149;3.51;126;2.96
53305420;1997;4;0.66;43373851;0.37;7207843;0.96;1999;9;4940;174;3.52;153;3.16
53305375;1997;3;0.68;37777087;0.37;551948;1;1999;8;4369;177;4.05;132;3.02
43394381;1997;1;0.62;43332060;0.25;1495840;1;1999;9;4991;183;3.67;151;3.03
53305271;1997;2;0.75;43380806;0.5;551948;1;1999;8;4297;167;3.88;124;2.89
53305394;1997;3;0.75;43391032;0.5;551949;1;1999;9;3773;156;4.14;123;3.27
43394395;1997;1;0.75;43390971;0.5;6551948;1;1999;9;3991;151;3.78;117;2.94
53305363;1997;3;0.5;43373982;0;7061348;1;1999;8;3978;146;3.66;132;3.33
53305468;1997;5;0.5;13311570;0;551948;1;1999;9;3667;136;3.7;116;3.15
53305371;1997;3;0.62;43352350;0.25;551948;1;1999;9;4287;146;3.4;118;2.75
53305481;1997;5;0.87;43380747;0.75;551948;1;2000;1;4153;139;3.33;127;3.06
53305422;1997;4;0.75;53300015;0.5;551948;1;1999;9;4150;163;3.93;138;3.32
53305356;1997;3;0.59;43332295;0.25;2131546;0.94;1999;11;4989;165;3.31;164;3.29
43394382;1997;1;0.87;43390926;0.75;551948;1;1999;4;4665;179;3.84;131;2.81
43393351;1996;9;0.63;43338668;0.37;2131516;0.9;1999;2;4123;168;4.08;117;2.83
37790731;1996;11;0.94;43352436;0.88;551948;1;1999;2;3896;133;3.41;117;3.01
37790740;1996;12;0.25;37777006;0.5;915046;0;1999;2;4370;186;4.26;140;3.21
43393782;1996;10;0.5;33381050;0;3786344;1;1999;3;2692;125;4.65;83;3.07
43394290;1996;11;0.68;43372882;0.5;7162344;0.87;1999;4;4191;210;5;137;3.26
43394316;1996;12;0.84;43380790;0.68;551948;1;1999;4;4523;190;4.2;129;2.86
43393776;1996;10;0.75;37734161;0.5;3786344;1;1999;2;4096;163;3.99;124;3.02
43394305;1996;12;0.47;43380935;0;2131546;0.94;1999;3;4004;179;4.48;126;3.15
43394296;1996;11;0.65;43338900;0.37;2131546;0.94;1999;3;4839;194;4;147;3.03
43393774;1996;10;0.5;43312176;0;3786344;1;1999;4;3886;184;4.74;122;3.14
43394389;1997;1;0.53;43373856;0.43;720905;0.63;1999;5;3642;158;4.34;114;3.14
53305378;1997;3;0.84;43390969;0.68;551948;1;1999;9;4452;221;4.96;148;3.32
53305267;1997;2;0.75;43332626;0.5;551948;1;1999;5;4816;206;4.27;145;3.01
53305299;1997;2;0.68;43332028;0.37;551948;1;1999;8;3273;148;4.54;106;3.23
53305262;1997;1;0.59;43312309;0.25;2131546;0.94;1999;5;4144;165;3.99;129;3.12
53305265;1997;1;0.5;33381044;0;3786344;1;1999;6;4130;193;4.66;132;3.2
53305256;1997;1;0.5;33372221;0;551948;1;1999;6;4202;175;4.15;134;3.18
53305413;1997;4;0.66;43379282;0.37;7207843;0.96;1999;8;4700;165;3.5;125;2.67
53308368;1997;6;0.84;43391120;0.68;551948;1;1999;11;5902;197;3.34;184;3.11
43393779;1996;10;0.5;43332697;0;3786344;1;1999;6;4604;203;4.41;141;3.07
53305385;1997;3;0.75;43312368;0.5;3786344;1;1999;6;3765;158;4.2;116;3.09
53305282;1997;2;0.5;33372078;0;551948;1;1999;7;3075;116;3.78;100;3.24
53305254;1997;1;0.84;43332413;0.69;3786344;1;1999;6;4580;210;4.59;141;3.07
43393784;1996;11;0.5;43332519;0.12;2131546;0.94;1999;6;4931;207;4.19;150;3.04
53305260;1997;1;0.67;33389216;0.37;2131546;0.94;1999;6;4606;192;4.16;135;2.94
53308371;1997;6;0.72;43332498;0.5;2135247;0.94;1999;10;4698;198;4.1;144;3.06
43394377;1997;1;0.75;43339914;0.5;551948;1;1999;7;4209;177;4.2;136;3.23
53305416;1997;4;0.59;43352285;0.25;2131546;0.94;1999;8;3895;184;4.72;122;3.13
53305429;1997;4;0.75;37777038;0.5;551948;1;1999;8;5167;214;4.15;159;3.07
53305279;1997;2;0.62;43332676;0.25;1995840;1;1999;7;4725;198;4.18;148;3.13
53305274;1997;2;0.87;43353100;0.75;551948;1;1999;7;5115;185;3.61;140;2.73
43391837;1996;3;0.81;43332358;0.62;6456342;1;1998;6;4702;203;4.31;149;3.17
43393713;1996;6;0.81;43379257;0.75;915045;0.87;1998;7;3715;160;4.3;117;3.14
43391826;1996;4;0.62;43332545;0.25;9042443;1;1998;6;4500;200;4.43;150;3.33
53305387;1997;3;0.5;43312389;0;3786344;1;1999;10;5403;206;3.82;169;3.13
43393706;1996;6;0.65;43312338;0.37;9008940;0.94;1998;6;4566;206;4.5;151;3.3
43393686;1996;5;0.5;333709157;0;6456342;1;1998;6;5191;209;4.03;153;2.94
43391839;1996;3;0.82;37777061;0.75;7098840;0.9;1998;6;4032;182;4.51;131;3.26
43392139;1996;4;0.62;43352285;0.25;9042443;1;1998;6;4131;193;4.66;137;3.32
43393295;1996;5;0.59;43379965;0.25;9008940;0.94;1998;7;5011;220;4.39;163;3.26
43393284;1996;5;0.68;43352463;0.37;5456342;1;1998;7;4517;207;4.58;143;3.17
43393294;1996;5;0.46;43372839;0.12;15708;0.81;1998;7;5169;254;4.92;171;3.3
43391819;1996;3;0.72;43312282;0.5;9008940;0.94;1998;7;4124;167;4.06;129;3.12
43391832;1996;3;0.52;37777078;0.23;15203;0.81;1998;6;5056;190;3.75;163;3.22
43393690;1996;5;0.68;433531343;0.37;6456342;1;1998;7;4768;190;3.98;144;3.03
43391831;1996;3;0.68;43353149;0.37;7047441;1;1998;7;4469;212;4.74;146;3.27
43392140;1996;4;0.56;37777084;0.25;1711741;0.87;1998;7;4822;183;3.79;143;2.96
53305437;1997;4;0.78;33389147;0.62;2131546;0.94;1994;9;5233;196;3.75;171;3.27
43393681;1996;5;0.53;43353372;0.25;15708;0.81;1998;7;4905;194;3.96;142;2.9
43392155;1996;5;0.68;43332352;0.37;9042443;1;1998;7;3729;196;5.27;132;3.53
53301264;1996;7;0.75;43379254;0.5;9091443;1;1998;9;4134;176;4.25;134;3.23
53305435;1997;5;0.75;33399808;0.5;551948;1;1999;11;3938;164;4.17;127;3.23
43391558;1995;12;0.75;43373362;0.5;6456342;1;1998;8;4419;189;4.29;141;3.2
43393288;1996;5;0.75;33399606;0.5;6456342;1;1998;6;3103;146;4.69;101;3.27
53305470;1997;5;0.73;43332681;0.5;7207843;0.96;2000;1;4162;163;3.92;133;3.2
43391672;1996;2;0.37;43352367;0;1840910;0.75;1998;9;3343;147;4.4;103;3.09
43393334;1996;7;0.56;43352413;0.37;716401;0.75;1998;9;2985;157;5.24;104;3.49
43393303;1996;4;0.5;13311572;0;1464142;1;1998;9;4323;194;4.5;137;3.17
43391679;1996;3;0.61;43353130;0.28;7075547;0.97;1998;9;3521;128;3.64;108;3.07
53301252;1996;6;0.5;43373985;0.25;910112;0.75;1998;11;4097;208;5.08;133;3.25
53308380;1997;7;0.75;53300032;0.56;2131546;0.94;2000;1;5697;180;3.16;167;2.94
37790723;1996;10;0.69;43380723;0.38;551948;1;1998;12;3551;141;3.97;103;2.9
53301267;1996;7;0.37;43379284;0;910112;0.75;1999;1;4490;185;4.13;137;3.06
37790712;1996;9;0.1;37789072;0.19;9042223;0;1999;1;5040;200;3.96;147;2.91
53301282;1996;8;0.62;377341886;0.5;910112;0.75;1999;1;4345;186;4.29;137;3.16
53308366;1997;6;0.87;37789046;0.75;9059444;1;1999;11;6195;186;3.01;188;3.03
53305352;1997;2;0.68;433123807;0.37;551948;1;1999;7;4982;172;3.45;156;3.14
43394297;1996;12;0.75;43312199;0.5;3786344;1;1999;3;4665;175;3.76;135;2.9
43393312;1996;5;0.5;43353432;0.12;1711741;0.87;1998;6;3510;134;3.28;105;2.99
43391830;1996;3;0.56;43353413;0.21;7047449;1;1998;6;4108;154;3.75;117;2.84
53305424;1997;4;0.5;43332271;0;551948;1;1999;8;4276;151;3.54;121;2.83
43391614;1996;1;0.75;433524786;0.5;7075547;1;1998;6;2129;80;3.78;59;2.79
53305476;1997;5;0.72;43391942;0.44;551948;1;1999;11;5025;172;3.43;151;3
43391643;1996;2;0.68;43332398;0.37;6456342;1;1998;5;4852;189;3.9;150;3.1
43391550;1995;12;0.43;43394620;0;6118247;0.87;1998;5;5223;192;3.67;175;3.35
43391582;1996;1;0.54;43338661;0.12;7075547;0.97;1998;5;4455;168;3.76;137;3.08
43391568;1995;12;0.5;43332528;0;6456342;1;1998;5;5347;199;3.73;159;2.98
53300170;1995;9;0.62;43369841;0.25;552542;1;1998;5;5246;194;3.69;167;3.18
43391833;1996;4;0.75;43332750;0.5;9042443;1;1998;6;4071;178;4.37;135;3.22
43393780;1996;10;0.75;43372578;0.5;3786344;1;1998;1;4702;197;4.18;131;2.79
43391617;1996;1;0.62;43332060;0.25;1464142;1;1998;4;4926;182;3.7;145;2.95
43391804;1996;3;0.5;43332679;0;6456342;1;1998;4;5439;222;4.09;168;3.09
43391555;1995;12;0.61;43370465;0.85;7075547;0.97;1998;4;3937;150;3.8;127;3.22
43391616;1996;1;0.75;33399604;0.5;6456342;1;1998;4;4654;196;4.2;141;3.04
53300200;1995;11;0.75;33389231;0.5;1841142;1;1998;3;4544;156;3.43;128;2.82
43391606;1996;1;0.5;43340070;0;6456342;1;1998;4;5570;203;3.65;169;3.04
53305474;1997;5;0.75;43312337;0.5;551948;1;1999;11;4919;164;3.32;138;2.8
53308520;1997;7;0.5;43312349;0;1995840;1;1999;12;5192;191;3.69;163;3.14
